Time,Lx,Ly,Lz
91.979,0.000000,0.000000,10238.756098
91.98,0.000000,0.000000,10238.771300
91.981,0.000000,0.000000,10238.786502
91.982,0.000000,0.000000,10238.801703
91.983,0.000000,0.000000,10238.816905
91.984,0.000000,0.000000,10238.832106
91.985,0.000000,0.000000,10238.847306
91.986,0.000000,0.000000,10238.862507
91.987,0.000000,0.000000,10238.877707
91.988,0.000000,0.000000,10238.892907
91.989,0.000000,0.000000,10238.908107
91.99,0.000000,0.000000,10238.923306
91.991,0.000000,0.000000,10238.938505
91.992,0.000000,0.000000,10238.953704
91.993,0.000000,0.000000,10238.968903
91.994,0.000000,0.000000,10238.984102
91.995,0.000000,0.000000,10238.999300
91.996,0.000000,0.000000,10239.014498
91.997,0.000000,0.000000,10239.029696
91.998,0.000000,0.000000,10239.044893
91.999,0.000000,0.000000,10239.060090
92,0.000000,0.000000,10239.075287
92.001,0.000000,0.000000,10239.090484
92.002,0.000000,0.000000,10239.105681
92.003,0.000000,0.000000,10239.120877
92.004,0.000000,0.000000,10239.136073
92.005,0.000000,0.000000,10239.151269
92.006,0.000000,0.000000,10239.166464
92.007,0.000000,0.000000,10239.181659
92.008,0.000000,0.000000,10239.196854
92.009,0.000000,0.000000,10239.212049
92.01,0.000000,0.000000,10239.227244
92.011,0.000000,0.000000,10239.242438
92.012,0.000000,0.000000,10239.257632
92.013,0.000000,0.000000,10239.272826
92.014,0.000000,0.000000,10239.288019
92.015,0.000000,0.000000,10239.303212
92.016,0.000000,0.000000,10239.318405
92.017,0.000000,0.000000,10239.333598
92.018,0.000000,0.000000,10239.348791
92.019,0.000000,0.000000,10239.363983
92.02,0.000000,0.000000,10239.379175
92.021,0.000000,0.000000,10239.394366
92.022,0.000000,0.000000,10239.409558
92.023,0.000000,0.000000,10239.424749
92.024,0.000000,0.000000,10239.439940
92.025,0.000000,0.000000,10239.455131
92.026,0.000000,0.000000,10239.470321
92.027,0.000000,0.000000,10239.485512
92.028,0.000000,0.000000,10239.500702
92.029,0.000000,0.000000,10239.515891
92.03,0.000000,0.000000,10239.531081
92.031,0.000000,0.000000,10239.546270
92.032,0.000000,0.000000,10239.561459
92.033,0.000000,0.000000,10239.576648
92.034,0.000000,0.000000,10239.591836
92.035,0.000000,0.000000,10239.607025
92.036,0.000000,0.000000,10239.622213
92.037,0.000000,0.000000,10239.637400
92.038,0.000000,0.000000,10239.652588
92.039,0.000000,0.000000,10239.667775
92.04,0.000000,0.000000,10239.682962
92.041,0.000000,0.000000,10239.698149
92.042,0.000000,0.000000,10239.713335
92.043,0.000000,0.000000,10239.728521
92.044,0.000000,0.000000,10239.743707
92.045,0.000000,0.000000,10239.758893
92.046,0.000000,0.000000,10239.774079
92.047,0.000000,0.000000,10239.789264
92.048,0.000000,0.000000,10239.804449
92.049,0.000000,0.000000,10239.819633
92.05,0.000000,0.000000,10239.834818
92.051,0.000000,0.000000,10239.850002
92.052,0.000000,0.000000,10239.865186
92.053,0.000000,0.000000,10239.880370
92.054,0.000000,0.000000,10239.895553
92.055,0.000000,0.000000,10239.910737
92.056,0.000000,0.000000,10239.925920
92.057,0.000000,0.000000,10239.941102
92.058,0.000000,0.000000,10239.956285
92.059,0.000000,0.000000,10239.971467
92.06,0.000000,0.000000,10239.986649
92.061,0.000000,0.000000,10240.001831
92.062,0.000000,0.000000,10240.017012
92.063,0.000000,0.000000,10240.032193
92.064,0.000000,0.000000,10240.047374
92.065,0.000000,0.000000,10240.062555
92.066,0.000000,0.000000,10240.077735
92.067,0.000000,0.000000,10240.092916
92.068,0.000000,0.000000,10240.108096
92.069,0.000000,0.000000,10240.123275
92.07,0.000000,0.000000,10240.138455
92.071,0.000000,0.000000,10240.153634
92.072,0.000000,0.000000,10240.168813
92.073,0.000000,0.000000,10240.183992
92.074,0.000000,0.000000,10240.199170
92.075,0.000000,0.000000,10240.214348
92.076,0.000000,0.000000,10240.229526
92.077,0.000000,0.000000,10240.244704
92.078,0.000000,0.000000,10240.259881
92.079,0.000000,0.000000,10240.275058
92.08,0.000000,0.000000,10240.290235
92.081,0.000000,0.000000,10240.305412
92.082,0.000000,0.000000,10240.320589
92.083,0.000000,0.000000,10240.335765
92.084,0.000000,0.000000,10240.350941
92.085,0.000000,0.000000,10240.366116
92.086,0.000000,0.000000,10240.381292
92.087,0.000000,0.000000,10240.396467
92.088,0.000000,0.000000,10240.411642
92.089,0.000000,0.000000,10240.426817
92.09,0.000000,0.000000,10240.441991
92.091,0.000000,0.000000,10240.457165
92.092,0.000000,0.000000,10240.472339
92.093,0.000000,0.000000,10240.487513
92.094,0.000000,0.000000,10240.502686
92.095,0.000000,0.000000,10240.517859
92.096,0.000000,0.000000,10240.533032
92.097,0.000000,0.000000,10240.548205
92.098,0.000000,0.000000,10240.563377
92.099,0.000000,0.000000,10240.578549
92.1,0.000000,0.000000,10240.593721
92.101,0.000000,0.000000,10240.608893
92.102,0.000000,0.000000,10240.624064
92.103,0.000000,0.000000,10240.639236
92.104,0.000000,0.000000,10240.654406
92.105,0.000000,0.000000,10240.669577
92.106,0.000000,0.000000,10240.684747
92.107,0.000000,0.000000,10240.699918
92.108,0.000000,0.000000,10240.715088
92.109,0.000000,0.000000,10240.730257
92.11,0.000000,0.000000,10240.745427
92.111,0.000000,0.000000,10240.760596
92.112,0.000000,0.000000,10240.775765
92.113,0.000000,0.000000,10240.790933
92.114,0.000000,0.000000,10240.806102
92.115,0.000000,0.000000,10240.821270
92.116,0.000000,0.000000,10240.836438
92.117,0.000000,0.000000,10240.851605
92.118,0.000000,0.000000,10240.866773
92.119,0.000000,0.000000,10240.881940
92.12,0.000000,0.000000,10240.897107
92.121,0.000000,0.000000,10240.912273
92.122,0.000000,0.000000,10240.927440
92.123,0.000000,0.000000,10240.942606
92.124,0.000000,0.000000,10240.957772
92.125,0.000000,0.000000,10240.972937
92.126,0.000000,0.000000,10240.988102
92.127,0.000000,0.000000,10241.003268
92.128,0.000000,0.000000,10241.018432
92.129,0.000000,0.000000,10241.033597
92.13,0.000000,0.000000,10241.048761
92.131,0.000000,0.000000,10241.063925
92.132,0.000000,0.000000,10241.079089
92.133,0.000000,0.000000,10241.094253
92.134,0.000000,0.000000,10241.109416
92.135,0.000000,0.000000,10241.124579
92.136,0.000000,0.000000,10241.139742
92.137,0.000000,0.000000,10241.154905
92.138,0.000000,0.000000,10241.170067
92.139,0.000000,0.000000,10241.185229
92.14,0.000000,0.000000,10241.200391
92.141,0.000000,0.000000,10241.215552
92.142,0.000000,0.000000,10241.230714
92.143,0.000000,0.000000,10241.245875
92.144,0.000000,0.000000,10241.261036
92.145,0.000000,0.000000,10241.276196
92.146,0.000000,0.000000,10241.291357
92.147,0.000000,0.000000,10241.306517
92.148,0.000000,0.000000,10241.321676
92.149,0.000000,0.000000,10241.336836
92.15,0.000000,0.000000,10241.351995
92.151,0.000000,0.000000,10241.367154
92.152,0.000000,0.000000,10241.382313
92.153,0.000000,0.000000,10241.397472
92.154,0.000000,0.000000,10241.412630
92.155,0.000000,0.000000,10241.427788
92.156,0.000000,0.000000,10241.442946
92.157,0.000000,0.000000,10241.458103
92.158,0.000000,0.000000,10241.473260
92.159,0.000000,0.000000,10241.488418
92.16,0.000000,0.000000,10241.503574
92.161,0.000000,0.000000,10241.518731
92.162,0.000000,0.000000,10241.533887
92.163,0.000000,0.000000,10241.549043
92.164,0.000000,0.000000,10241.564199
92.165,0.000000,0.000000,10241.579354
92.166,0.000000,0.000000,10241.594510
92.167,0.000000,0.000000,10241.609665
92.168,0.000000,0.000000,10241.624819
